gvkey,fyear,Rank,Name,Country
11259,2021,1,Walmart,US
,2021,2,State Grid,CN
64768,2021,3,Amazon,US
,2021,4,China National Petroleum,CN
,2021,5,Sinopec Group,CN
1690,2021,6,Apple,US
7241,2021,7,CVS Health,US
10903,2021,8,UnitedHealth Group,US
19661,2021,9,Toyota Motor,JP
100737,2021,10,Volkswagen,DE
,2021,11,Berkshire Hathaway,US
7171,2021,12,McKesson,US
,2021,13,China State Construction Engineering,CN
355385,2021,14,Saudi Aramco,SA
104604,2021,15,Samsung Electronics,KR
160709,2021,16,Ping An Insurance,CN
31673,2021,17,AmerisourceBergen,US
2410,2021,18,BP,GB
12384,2021,19,Royal Dutch Shell,NL
279378,2021,20,Industrial & Commercial Bank of China,CN
160329,2021,21,Alphabet,US
203177,2021,22,Hon Hai Precision Industry,TW
4503,2021,23,Exxon Mobil,US
17828,2021,24,Daimler,DE
,2021,25,China Construction Bank,CN
9899,2021,26,AT&T,US
29028,2021,27,Costco Wholesale,US
2547,2021,28,Cigna,US
269783,2021,29,Agricultural Bank of China,CN
2751,2021,30,Cardinal Health,US
,2021,31,Trafigura Group,SG
259503,2021,32,China Life Insurance,CN
12141,2021,33,Microsoft,US
267407,2021,34,Glencore,CH
,2021,35,China Railway Engineering Group,CN
11264,2021,36,Walgreens Boots Alliance,US
16331,2021,37,EXOR Group,NL
15724,2021,38,Allianz,DE
267461,2021,39,Bank of China,CN
6502,2021,40,Kroger,US
5680,2021,41,Home Depot,US
288414,2021,42,China Railway Construction,CN
2968,2021,43,JPMorgan Chase,US
,2021,44,Huawei Investment & Holding,CN
2131,2021,45,Verizon Communications,US
63120,2021,46,AXA,FR
4839,2021,47,Ford Motor,US
5691,2021,48,Honda Motor,JP
5073,2021,49,General Motors,US
145046,2021,50,Anthem,US
100555,2021,51,Mitsubishi,JP
24625,2021,52,TotalEnergies,FR
221616,2021,53,Deutsche Telekom,DE
,2021,54,BMW Group,DE
7908,2021,55,Nippon Telegraph and Telephone,JP
65662,2021,56,China Mobile Communications,CN
145552,2021,57,Centene,US
320611,2021,58,Japan Post Holdings,JP
19744,2021,59,JD.com,CN
243804,2021,60,SAIC Motor,CN
,2021,61,China Communications Construction,CN
,2021,62,Fannie Mae,US
20530,2021,63,Alibaba Group Holding,CN
3226,2021,64,Comcast,US
,2021,65,China Minmetals,CN
,2021,66,China FAW Group,CN
,2021,67,Hengli Group,CN
,2021,68,Amer International Group,CN
,2021,69,China Resources,CN
,2021,70,Shandong Energy Group,CN
100435,2021,71,Itochu,JP
,2021,72,China Baowu Steel Group,CN
15804,2021,73,Assicurazioni Generali,IT
,2021,74,China Post Group,CN
2991,2021,75,Chevron,US
14489,2021,76,Dell Technologies,US
7647,2021,77,Bank of America,US
3813,2021,78,Target,US
16603,2021,79,Nestlé,CH
6829,2021,80,Lowe's,US
186989,2021,81,Marathon Petroleum,US
3243,2021,82,Citigroup,US
104607,2021,83,Hyundai Motor,KR
206454,2021,84,Gazprom,RU
274720,2021,85,Dongfeng Motor,CN
170617,2021,86,Facebook (Meta Platforms Inc.),US
23667,2021,87,Royal Ahold Delhaize,NL
9818,2021,88,Sony,JP
10920,2021,89,United Parcel Service,US
,2021,90,People's Insurance Co. of China,CN
,2021,91,China Southern Power Grid,CN
142540,2021,92,China National Offshore Oil,CN
24563,2021,93,Crédit Agricole,FR
6266,2021,94,Johnson & Johnson,US
5650,2021,95,Hitachi,JP
100346,2021,96,Carrefour,FR
15532,2021,97,BNP Paribas,FR
,2021,98,Bosch Group,DE
100131,2021,99,Tesco,GB
222398,2021,100,AEON,JP
,2021,101,China Energy Investment,CN
15509,2021,102,HSBC Holdings,GB
8007,2021,103,Wells Fargo,US
5047,2021,104,General Electric,US
,2021,105,Electricité de France,FR
122594,2021,106,State Farm Insurance,US
,2021,107,PowerChina,CN
6008,2021,108,Intel,US
292783,2021,109,Sinopharm,CN
27914,2021,110,Humana,US
268456,2021,111,Nippon Life Insurance,JP
,2021,112,COFCO,CN
,2021,113,Deutsche Post DHL Group,DE
7471,2021,114,Mitsui,JP
,2021,115,CITIC Group,CN
19113,2021,116,Nissan Motor,JP
