gvkey,curcd,fyear,datadate,at,emp,revt,conm,naics,sic
002410,USD,2015,2015-12-31,261832.0000,75.0000,222894.0000,BP PLC,324110,2911
002410,USD,2016,2016-12-31,263316.0000,69.9000,182325.0000,BP PLC,324110,2911
002410,USD,2017,2017-12-31,276515.0000,69.7000,238433.0000,BP PLC,324110,2911
002410,USD,2018,2018-12-31,282176.0000,69.6000,297220.0000,BP PLC,324110,2911
002410,USD,2019,2019-12-31,295194.0000,67.6000,276850.0000,BP PLC,324110,2911
002410,USD,2020,2020-12-31,267654.0000,63.6000,179671.0000,BP PLC,324110,2911
002410,USD,2021,2021-12-31,287272.0000,65.9000,156431.0000,BP PLC,324110,2911
002410,USD,2022,2022-12-31,288120.0000,67.6000,239067.0000,BP PLC,324110,2911
002410,USD,2023,2023-12-31,280294.0000,87.8000,208351.0000,BP PLC,324110,2911
002411,GBP,2014,2015-03-31,27191.0000,88.5000,17979.0000,BT GROUP PLC,517311,4813
002411,GBP,2015,2016-03-31,42592.0000,102.5000,19042.0000,BT GROUP PLC,517311,4813
002411,GBP,2016,2017-03-31,42372.0000,106.4000,24062.0000,BT GROUP PLC,517311,4813
002411,GBP,2017,2018-03-31,42759.0000,105.8000,23723.0000,BT GROUP PLC,517311,4813
002411,GBP,2018,2019-03-31,46287.0000,106.7000,23428.0000,BT GROUP PLC,517311,4813
002411,GBP,2019,2020-03-31,53067.0000,105.3000,22905.0000,BT GROUP PLC,517311,4813
002411,GBP,2020,2021-03-31,50877.0000,99.7000,21331.0000,BT GROUP PLC,517311,4813
002411,GBP,2021,2022-03-31,49774.0000,98.4000,20850.0000,BT GROUP PLC,517311,4813
002411,GBP,2022,2023-03-31,52752.0000,97.1000,20681.0000,BT GROUP PLC,517311,4813
002411,GBP,2023,2024-03-31,51739.0000,91.7000,20797.0000,BT GROUP PLC,517311,4813
002721,JPY,2015,2015-12-31,4427773.0000,189.5710,3800271.0000,CANON INC,333310,3577
002721,JPY,2016,2016-12-31,5138529.0000,197.6730,3401487.0000,CANON INC,333310,3577
002721,JPY,2017,2017-12-31,5198291.0000,197.7760,4080015.0000,CANON INC,333310,3577
002721,JPY,2018,2018-12-31,4899465.0000,195.0560,3951937.0000,CANON INC,333310,3577
002721,JPY,2019,2019-12-31,4768351.0000,187.0410,3593299.0000,CANON INC,333310,3577
002721,JPY,2020,2020-12-31,4625614.0000,181.8970,3160243.0000,CANON INC,333310,3577
002721,JPY,2021,2021-12-31,4750888.0000,184.0340,3513357.0000,CANON INC,333310,3577
002721,JPY,2022,2022-12-31,5095530.0000,180.7750,4031414.0000,CANON INC,333310,3577
002721,JPY,2023,2023-12-31,5416577.0000,169.1510,4180972.0000,CANON INC,333310,3577
005180,GBP,2015,2015-12-31,53446.0000,101.2550,23923.0000,GSK PLC,325412,2834
005180,GBP,2016,2016-12-31,59081.0000,99.3000,27889.0000,GSK PLC,325412,2834
005180,GBP,2017,2017-12-31,56381.0000,98.4620,30186.0000,GSK PLC,325412,2834
005180,GBP,2018,2018-12-31,58066.0000,95.4900,30821.0000,GSK PLC,325412,2834
005180,GBP,2019,2019-12-31,79692.0000,99.4370,33754.0000,GSK PLC,325412,2834
005180,GBP,2020,2020-12-31,80431.0000,94.0660,34099.0000,GSK PLC,325412,2834
