gvkey,curcd,fyear,datadate,at,emp,revt,conm,naics,sic
013312,USD,2015,2015-06-30,124580.0000,29.6700,44636.0000,BHP GROUP LTD,212,1000
013312,USD,2016,2016-06-30,118953.0000,26.8270,30912.0000,BHP GROUP LTD,212,1000
013312,USD,2017,2017-06-30,117006.0000,26.1460,38285.0000,BHP GROUP LTD,212,1000
013312,USD,2018,2018-06-30,111993.0000,27.1610,43638.0000,BHP GROUP LTD,212,1000
013312,USD,2019,2019-06-30,100861.0000,28.9260,44288.0000,BHP GROUP LTD,212,1000
013312,USD,2020,2020-06-30,104783.0000,31.5890,42931.0000,BHP GROUP LTD,212,1000
013312,USD,2021,2021-06-30,108927.0000,40.1100,60817.0000,BHP GROUP LTD,212,1000
013312,USD,2022,2022-06-30,95166.0000,45.2950,65098.0000,BHP GROUP LTD,212,1000
013312,USD,2023,2023-06-30,101296.0000,49.0890,53817.0000,BHP GROUP LTD,212,1000
015508,USD,2015,2015-12-31,52013.0000,128.0000,20455.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2016,2016-12-31,50149.0000,95.0000,21378.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2017,2017-12-31,54561.0000,69.0000,26243.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2018,2018-12-31,52196.0000,64.0000,27610.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2019,2019-12-31,56152.0000,60.0000,29870.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2020,2020-12-31,62534.0000,95.0000,30902.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2021,2021-12-31,65985.0000,106.0000,41554.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2022,2022-12-31,67407.0000,105.0000,35118.0000,ANGLO AMERICAN PLC,212,1000
015508,USD,2023,2023-12-31,66544.0000,,30652.0000,ANGLO AMERICAN PLC,212,1000
019565,USD,2015,2015-12-31,91564.0000,54.8880,34829.0000,RIO TINTO GROUP,212,1000
019565,USD,2016,2016-12-31,89263.0000,51.0180,33781.0000,RIO TINTO GROUP,212,1000
019565,USD,2017,2017-12-31,95726.0000,46.8070,40030.0000,RIO TINTO GROUP,212,1000
019565,USD,2018,2018-12-31,90949.0000,47.4580,40522.0000,RIO TINTO GROUP,212,1000
019565,USD,2019,2019-12-31,87802.0000,46.0000,43165.0000,RIO TINTO GROUP,212,1000
019565,USD,2020,2020-12-31,97390.0000,47.5000,44611.0000,RIO TINTO GROUP,212,1000
019565,USD,2021,2021-12-31,102896.0000,49.0000,63495.0000,RIO TINTO GROUP,212,1000
019565,USD,2022,2022-12-31,96744.0000,54.0000,55554.0000,RIO TINTO GROUP,212,1000
019565,USD,2023,2023-12-31,103549.0000,57.0000,54041.0000,RIO TINTO GROUP,212,1000
206454,RUB,2015,2015-12-31,17052040.0000,462.4000,6073318.0000,GAZPROM PJSC,324110,2911
206454,RUB,2016,2016-12-31,16918938.0000,467.4000,6111051.0000,GAZPROM PJSC,324110,2911
206454,RUB,2017,2017-12-31,18238770.0000,469.6000,6546143.0000,GAZPROM PJSC,324110,2911
206454,RUB,2018,2018-12-31,20810440.0000,466.1000,8224177.0000,GAZPROM PJSC,324110,2911
206454,RUB,2019,2019-12-31,21882348.0000,473.8000,7659623.0000,GAZPROM PJSC,324110,2911
