fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,exchg,naics,dlc,dltt,emp,oiadp,prc,revt,sale,cshoi,nicon,ninc
AUS,A,HIST_STD,INDL,C,013312,2015-06-30,BHP GROUP LTD,106,212,3201.0000,27969.0000,29.6700,11535.0000,0.0000,44636.0000,44636.0000,3210.85200,3422.00000,
AUS,A,HIST_STD,INDL,C,013312,2016-06-30,BHP GROUP LTD,106,212,4653.0000,31768.0000,26.8270,2802.0000,0.0000,30912.0000,30912.0000,3211.16000,-6385.00000,
AUS,A,HIST_STD,INDL,C,013312,2017-06-30,BHP GROUP LTD,106,212,1241.0000,29233.0000,26.1460,11487.0000,0.0000,38285.0000,38285.0000,3212.00000,5890.00000,
AUS,A,HIST_STD,INDL,C,013312,2018-06-30,BHP GROUP LTD,106,212,2736.0000,24069.0000,27.1610,15747.0000,0.0000,43638.0000,43638.0000,3211.49400,6626.00000,
AUS,A,HIST_STD,INDL,C,013312,2019-06-30,BHP GROUP LTD,106,212,1661.0000,23167.0000,28.9260,16541.0000,0.0000,44288.0000,44288.0000,2944.70300,8641.00000,
AUS,A,HIST_STD,INDL,C,013312,2020-06-30,BHP GROUP LTD,106,212,5012.0000,22036.0000,31.5890,14727.0000,0.0000,42931.0000,42931.0000,2945.62100,7956.00000,
AUS,A,HIST_STD,INDL,C,013312,2021-06-30,BHP GROUP LTD,106,212,2628.0000,18355.0000,40.1100,29319.0000,0.0000,60817.0000,60817.0000,2944.98200,11304.00000,
AUS,A,HIST_STD,INDL,C,013312,2022-06-30,BHP GROUP LTD,106,212,2622.0000,13806.0000,45.2950,32940.0000,0.0000,65098.0000,65098.0000,5061.27200,20245.00000,
AUS,A,HIST_STD,INDL,C,013312,2023-06-30,BHP GROUP LTD,106,212,7173.0000,15172.0000,40.2270,21582.0000,0.0000,53817.0000,53817.0000,5064.40900,12921.00000,
AUS,A,HIST_STD,INDL,C,013312,2024-06-30,BHP GROUP LTD,106,212,2084.0000,18634.0000,38.9620,22771.0000,0.0000,55658.0000,55658.0000,5070.27300,7897.00000,
AUS,A,HIST_STD,INDL,C,013312,2025-06-30,BHP GROUP LTD,106,212,2018.0000,22478.0000,39.3690,19240.0000,0.0000,51262.0000,51262.0000,5075.29100,9019.00000,
GBR,A,HIST_STD,INDL,C,015508,2014-12-31,ANGLO AMERICAN PLC,194,212,1618.0000,16917.0000,95.0000,4271.0000,0.0000,27073.0000,27073.0000,1280.00600,-2513.00000,
GBR,A,HIST_STD,INDL,C,015508,2015-12-31,ANGLO AMERICAN PLC,194,212,1649.0000,16318.0000,128.0000,1364.0000,0.0000,20455.0000,20455.0000,1284.52700,-5624.00000,
GBR,A,HIST_STD,INDL,C,015508,2016-12-31,ANGLO AMERICAN PLC,194,212,1806.0000,11363.0000,95.0000,3254.0000,0.0000,21378.0000,21378.0000,1278.49900,1594.00000,
GBR,A,HIST_STD,INDL,C,015508,2017-12-31,ANGLO AMERICAN PLC,194,212,1351.0000,10620.0000,69.0000,5191.0000,0.0000,26243.0000,26243.0000,1269.97100,3166.00000,
GBR,A,HIST_STD,INDL,C,015508,2018-12-31,ANGLO AMERICAN PLC,194,212,600.0000,8371.0000,64.0000,5061.0000,0.0000,27610.0000,27610.0000,1266.74300,3549.00000,
GBR,A,HIST_STD,INDL,C,015508,2019-12-31,ANGLO AMERICAN PLC,194,212,990.0000,9744.0000,60.0000,6290.0000,0.0000,29870.0000,29870.0000,1242.26800,3547.00000,
GBR,A,HIST_STD,INDL,C,015508,2020-12-31,ANGLO AMERICAN PLC,194,212,1194.0000,12317.0000,95.0000,6629.0000,0.0000,30902.0000,30902.0000,1238.75700,2089.00000,
GBR,A,HIST_STD,INDL,C,015508,2021-12-31,ANGLO AMERICAN PLC,194,212,1235.0000,11621.0000,106.0000,17198.0000,0.0000,41554.0000,41554.0000,1218.22100,8562.00000,
