fic,costat,datafmt,indfmt,consol,gvkey,datadate,conm,naics,dlc,dltt,emp,oiadp,prc,revt,sale,cshoi,nicon,ninc
GBR,A,HIST_STD,INDL,C,002410,2014-12-31,BP PLC,324110,6877.0000,45977.0000,79.2000,4179.0000,0.0000,353568.0000,353568.0000,18199.88300,3778.00000,
GBR,A,HIST_STD,INDL,C,002410,2015-12-31,BP PLC,324110,6944.0000,46224.0000,75.0000,1443.0000,0.0000,222894.0000,222894.0000,18412.39200,-6484.00000,
GBR,A,HIST_STD,INDL,C,002410,2016-12-31,BP PLC,324110,6634.0000,51666.0000,69.9000,3220.0000,0.0000,182325.0000,182325.0000,19451.85300,114.00000,
GBR,A,HIST_STD,INDL,C,002410,2017-12-31,BP PLC,324110,7739.0000,55491.0000,69.7000,8503.0000,0.0000,238433.0000,238433.0000,19806.14500,3388.00000,
GBR,A,HIST_STD,INDL,C,002410,2018-12-31,BP PLC,324110,9373.0000,56426.0000,69.6000,15974.0000,0.0000,297220.0000,297220.0000,20099.21400,9382.00000,
GBR,A,HIST_STD,INDL,C,002410,2019-12-31,BP PLC,324110,12554.0000,64892.0000,67.6000,9569.0000,0.0000,276850.0000,276850.0000,20239.05600,4025.00000,
GBR,A,HIST_STD,INDL,C,002410,2020-12-31,BP PLC,324110,11292.0000,70634.0000,63.6000,-22063.0000,0.0000,179671.0000,179671.0000,20262.13500,-20306.00000,
GBR,A,HIST_STD,INDL,C,002410,2021-12-31,BP PLC,324110,7304.0000,62483.0000,65.9000,13008.0000,0.0000,156431.0000,156431.0000,19640.62500,7563.00000,
GBR,A,HIST_STD,INDL,C,002410,2022-12-31,BP PLC,324110,5300.0000,50193.0000,67.6000,42487.0000,0.0000,239067.0000,239067.0000,17972.85600,-2488.00000,
GBR,A,HIST_STD,INDL,C,002410,2023-12-31,BP PLC,324110,5934.0000,57141.0000,87.8000,26467.0000,0.0000,208351.0000,208351.0000,16823.75700,15238.00000,
GBR,A,HIST_STD,INDL,C,002410,2024-12-31,BP PLC,324110,7134.0000,64413.0000,100.5000,10452.0000,0.0000,187386.0000,187386.0000,15850.48100,390.00000,
GBR,A,HIST_STD,INDL,C,002411,2015-03-31,BT GROUP PLC,517311,1900.0000,7868.0000,88.5000,3570.0000,0.0000,17979.0000,17979.0000,8270.45000,2135.00000,
GBR,A,HIST_STD,INDL,C,002411,2016-03-31,BT GROUP PLC,517311,3237.0000,11032.0000,102.5000,3971.0000,0.0000,19042.0000,19042.0000,9888.45600,2588.00000,
GBR,A,HIST_STD,INDL,C,002411,2017-03-31,BT GROUP PLC,517311,2632.0000,10081.0000,106.4000,3992.0000,0.0000,24062.0000,24062.0000,9890.43500,1908.00000,
GBR,A,HIST_STD,INDL,C,002411,2018-03-31,BT GROUP PLC,517311,2281.0000,11994.0000,105.8000,3800.0000,0.0000,23723.0000,23723.0000,9850.03700,2032.00000,
GBR,A,HIST_STD,INDL,C,002411,2019-03-31,BT GROUP PLC,517311,2100.0000,14776.0000,106.7000,3693.0000,0.0000,23428.0000,23428.0000,9912.00000,2159.00000,
GBR,A,HIST_STD,INDL,C,002411,2020-03-31,BT GROUP PLC,517311,3654.0000,22240.0000,105.3000,3562.0000,0.0000,22905.0000,22905.0000,9807.37200,1734.00000,
GBR,A,HIST_STD,INDL,C,002411,2021-03-31,BT GROUP PLC,517311,1641.0000,21196.0000,99.7000,3011.0000,0.0000,21331.0000,21331.0000,9908.23000,1472.00000,
GBR,A,HIST_STD,INDL,C,002411,2022-03-31,BT GROUP PLC,517311,1668.0000,20277.0000,98.4000,3120.0000,0.0000,20850.0000,20850.0000,9832.57700,1274.00000,
GBR,A,HIST_STD,INDL,C,002411,2023-03-31,BT GROUP PLC,517311,2572.0000,21308.0000,97.1000,3190.0000,0.0000,20681.0000,20681.0000,9738.13900,1905.00000,
