gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,conm,curcd,curncd,at,emp,revt,costat,naics,sic
001078,2015-12-31,2015,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,41247.0000,74.0000,20405.0000,A,334510,3845
001078,2016-12-31,2016,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,52666.0000,75.0000,20853.0000,A,334510,3845
001078,2017-12-31,2017,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,76250.0000,99.0000,27390.0000,A,334510,3845
001078,2018-12-31,2018,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,67173.0000,103.0000,30578.0000,A,334510,3845
001078,2019-12-31,2019,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,67887.0000,107.0000,31904.0000,A,334510,3845
001078,2020-12-31,2020,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,72548.0000,109.0000,34608.0000,A,334510,3845
001078,2021-12-31,2021,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,75196.0000,113.0000,43075.0000,A,334510,3845
001078,2022-12-31,2022,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,74438.0000,115.0000,43653.0000,A,334510,3845
001078,2023-12-31,2023,INDL,C,D,STD,ABBOTT LABORATORIES,USD,USD,73214.0000,114.0000,40109.0000,A,334510,3845
001300,2015-12-31,2015,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,49316.0000,129.0000,38581.0000,A,336413,9997
001300,2016-12-31,2016,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,54146.0000,131.0000,39302.0000,A,336413,9997
001300,2017-12-31,2017,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,59387.0000,131.0000,40534.0000,A,336413,9997
001300,2018-12-31,2018,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,57773.0000,114.0000,41802.0000,A,336413,9997
001300,2019-12-31,2019,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,58679.0000,113.0000,36709.0000,A,336413,9997
001300,2020-12-31,2020,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,64586.0000,103.0000,32637.0000,A,336413,9997
001300,2021-12-31,2021,INDL,C,D,STD,HONEYWELL INTERNATIONAL INC,USD,USD,64470.0000,99.0000,34392.0000,A,336413,9997
