costat,curcd,datafmt,indfmt,consol,gvkey,datadate,conm,tic,naics,dlc,dltt,prc,ni,oiadp,revt,sale,csho,emp
A,USD,STD,INDL,C,001078,2014-12-31,ABBOTT LABORATORIES,ABT,334510,4437.0000,3408.0000,,2284.0000,2927.0000,20247.0000,20247.0000,1508.0350,77.0000
A,USD,STD,INDL,C,001078,2015-12-31,ABBOTT LABORATORIES,ABT,334510,3130.0000,5871.0000,,4423.0000,3372.0000,20405.0000,20405.0000,1472.6650,74.0000
A,USD,STD,INDL,C,001078,2016-12-31,ABBOTT LABORATORIES,ABT,334510,1325.0000,20681.0000,,1400.0000,3622.0000,20853.0000,20853.0000,1472.8690,75.0000
A,USD,STD,INDL,C,001078,2017-12-31,ABBOTT LABORATORIES,ABT,334510,714.0000,27210.0000,,477.0000,3996.0000,27390.0000,27390.0000,1743.6020,99.0000
A,USD,STD,INDL,C,001078,2018-12-31,ABBOTT LABORATORIES,ABT,334510,207.0000,19359.0000,,2368.0000,4284.0000,30578.0000,30578.0000,1755.6190,103.0000
A,USD,STD,INDL,C,001078,2019-12-31,ABBOTT LABORATORIES,ABT,334510,1683.0000,17416.0000,,3687.0000,5041.0000,31904.0000,31904.0000,1762.5030,107.0000
A,USD,STD,INDL,C,001078,2020-12-31,ABBOTT LABORATORIES,ABT,334510,461.0000,19429.0000,,4495.0000,5785.0000,34608.0000,34608.0000,1771.2300,109.0000
A,USD,STD,INDL,C,001078,2021-12-31,ABBOTT LABORATORIES,ABT,334510,999.0000,18252.0000,,7071.0000,8966.0000,43075.0000,43075.0000,1764.0820,113.0000
A,USD,STD,INDL,C,001078,2022-12-31,ABBOTT LABORATORIES,ABT,334510,2481.0000,15465.0000,,6933.0000,9046.0000,43653.0000,43653.0000,1737.7950,115.0000
A,USD,STD,INDL,C,001078,2023-12-31,ABBOTT LABORATORIES,ABT,334510,1325.0000,14548.0000,,5723.0000,6793.0000,40109.0000,40109.0000,1734.0760,114.0000
A,USD,STD,INDL,C,001078,2024-12-31,ABBOTT LABORATORIES,ABT,334510,1754.0000,13521.0000,,13402.0000,7054.0000,41950.0000,41950.0000,1731.6980,114.0000
A,USD,STD,INDL,C,001300,2014-12-31,HONEYWELL INTERNATIONAL INC,HON,999977,2637.0000,6046.0000,,4239.0000,6429.0000,40306.0000,40306.0000,782.2000,127.0000
