SDG Keywords,Alternatives,SDG
Sustainable Development Goals,SDGs,SDG0
Sustainable Development Goal,SDG,SDG0
Extreme Poverty,,SDG1
Poverty Eradication,,SDG1
Poverty Line,,SDG1
Social Protection,,SDG1
End Poverty,,SDG1
Microfinanc*,Micro-Financ*,SDG1
Social Protection Systems,,SDG1
Agricultural Productivity,,SDG2
Crops,,SDG2
Food Production,,SDG2
Food Security,,SDG2
Hunger,,SDG2
Malnutrition,,SDG2
Sustainable Agriculture,,SDG2
Doha Development Round,,SDG2
End Hunger,,SDG2
Food Gap,,SDG2
Food Reserves,,SDG2
Resilient Agriculture,,SDG2
Small-Scale Food Producers,,SDG2
Sustainable Food Production,,SDG2
AIDS,,SDG3
Cancer*,,SDG3
Cardiovascular Disease,Cardiovascular Diseases; CVD; CVDs,SDG3
Ebola,,SDG3
HIV,Human Immunodeficiency Virus,SDG3
Infectious Disease,Infectious Diseases,SDG3
Life Expectancy,Life Expectancies,SDG3
Maternal Mortality,,SDG3
Mental Health,,SDG3
Obesity,,SDG3
Public Health,,SDG3
Sexual Health,,SDG3
Sexually Transmitted Disease,"Sexually Transmitted Diseases; STD, STDs",SDG3
Substance Abuse,Drug Abuse,SDG3
Acute Respiratory Distress Syndrome,ARDS,SDG3
AIDS,Acquired Immunodeficiency Syndrome,SDG3
Alcohol Use Disorder,AUD,SDG3
Alzheimer'S Disease,Alzheimer Disease; AD,SDG3
Anemia,,SDG3
Antiretroviral Therapy,,SDG3
Antiretroviral Therapy,Antiretroviral Treatment; Highly Active Antiretroviral Therapy; Combined Antiretroviral Therapy; ART,SDG3
Body Mass Index,BMI,SDG3
Breast Cancer,,SDG3
Cancer Cell,Cancer Cells,SDG3
Cardiovascular Risk Factors,CVD Risk Factors,SDG3
Chronic Disease,,SDG3
Chronic Obstructive Pulmonary Disease,COPD,SDG3
Coronary Artery Disease,"Coronary Heart Disease; CAD, CHD",SDG3
Depression,,SDG3
Diabetes,Diabetes Mellitus; Type 1 Diabetes; Type 2 Diabetes; DM,SDG3
Disease Burden,,SDG3
Drug Users,,SDG3
Ebola,Ebola Virus Disease,SDG3
Emerging Infectious Disease,Emerging Infectious Diseases; EID,SDG3
Epidemic,Epidemics,SDG3
Epidemiology,,SDG3
Family Planning,,SDG3
Health Care,Healthcare,SDG3
Health Care Delivery,Health Care Delivery System; Health Care Delivery Systems,SDG3
Health Outcomes,,SDG3
Health Services,Healthcare Services; Health Care Services,SDG3
Health Worker,Health Care Workers; Healthcare Professionals; Health Care Personnel,SDG3
Heart Disease,,SDG3
Heart Failure,Congestive?Heart Failure,SDG3
HIV,Human Immunodeficiency Virus,SDG3
HIV Infection,Hiv Infections; Human Immunodeficiency Virus Infection; Human Immunodeficiency Virus Infections,SDG3
Hypertension,High Blood Pressure,SDG3
Immunology,,SDG3
Inflammatory Bowel Disease,Inflammatory Bowel Diseases,SDG3
Lung Cancer,Lung Carcinoma,SDG3
Lung Disease,,SDG3
Major Depressive Disorder,Major Depression; MDD,SDG3
Maternal Mortality,Maternal Death,SDG3
Maternal Mortality Rate,Maternal Mortality Ratio,SDG3
Medical Care,,SDG3
Medicine,Medicines,SDG3
Mental Health Care,,SDG3
Mental Health Service,Mental Health Services,SDG3
Neglected?Tropical?Disease,"Neglected?Tropical?Diseases; NTD, NTDs",SDG3
Neonatal Mortality Rate,,SDG3
Neoplasm,Neoplasms,SDG3
Nonalcoholic Fatty Liver Disease,NAFLD,SDG3
Non-Communicable Disease,"Non-Communicable Diseases; NCD, NCDs",SDG3
Non-Small Cell Lung Cancer,Non-Small Cell Lung Carcinoma; NSCLC,SDG3
Pneumonia,,SDG3
Post-Traumatic Stress Disorder,PTSD,SDG3
Primary Care,Primary Health Care; Primary Healthcare,SDG3
Reproductive Health,,SDG3
Reproductive Health Care,Reproductive Healthcare,SDG3
Respiratory Tract Infection,Respiratory Tract Infections; RTI,SDG3
Sexual Risk Behavior,Sexual Risk Behaviors; Sexual Risk Behaviour; Sexual Risk Behaviours,SDG3
Sexually Transmitted Infection,Sexually Transmitted Infections; STI; STIs,SDG3
Universal Health Coverage,UHC,SDG3
Vaccination,,SDG3
Vaccine Preventable Diseases,,SDG3
World Health Organization,WHO,SDG3
Basic Education,,SDG4
Educational Inequality,,SDG4
Learning Opportunities,,SDG4
Lifelong Learning,,SDG4
Literacy,,SDG4
Literacy Skills,,SDG4
Primary Education,,SDG4
Secondary Education,,SDG4
Teacher Training,,SDG4
Vocational Training,,SDG4
Early Childhood Education,,SDG4
Equal Education,,SDG4
Global Citizenship,,SDG4
Numeracy,,SDG4
Scholarships,,SDG4
School Enrolment,,SDG4
Universal Education,,SDG4
Feminism,,SDG5
Gender Discrimination,,SDG5
Gender Equality,,SDG5
Reproductive Rights,,SDG5
Sexual Violence,,SDG5
Women's Empowerment,,SDG5
Women's Rights,,SDG5
Empower Girls,,SDG5
Empower Women,,SDG5
Empowerment of Women,,SDG5
Female Genital Mutilation,Female Genital Cutting,SDG5
Female Genital Mutilation,,SDG5
Female Political Participation,Women's Political Participation,SDG5
Forced Marriage,,SDG5
Gender Parity,,SDG5
Human Trafficking,,SDG5
Sexual and Reproductive Health,,SDG5
Sexual Exploitation,,SDG5
Violence Against Women,,SDG5
Women's Empowerment,Girls' Empowerment; Female Empowerment,SDG5
Aquifer,,SDG6
Clean Water,,SDG6
Desalination,,SDG6
Fresh Water,,SDG6
Potable Water,,SDG6
Recycled Water,,SDG6
Safe Drinking Water,,SDG6
Sustainable Water Management,,SDG6
Wastewater,,SDG6
Wastewater Treatment,,SDG6
Water Efficiency,,SDG6
Water Quality,,SDG6
Water Scarcity,,SDG6
Water Supply,,SDG6
Affordable Drinking Water,,SDG6
Equitable Sanitation,,SDG6
Inadequate Water Supply,,SDG6
Open Defecation,,SDG6
Untreated Wastewater,,SDG6
