Date,Start ,Finish,Hours,
2022/9/7,21:38,23:58,2:20,
 2022/9/10,20:02,20:52,0:50,
2022/9/11,15:30,16:40,1:10,
2022/9/17,21:00,22:36,1:36,
2022/9/20,22:30,23:30,1:00,
2022/9/24,22:40,23:40,1:00,
2022/9/25,17:00,19:21,2:21,
,,,8 hours 137 mins = 10.28hours*1500NTD =15420,
2022/10/2,10:00,13:42,3:42,
2022/10/2,17:00,18:40,1:40,
2022/10/8,20:00,21:30,1:30,
2022/10/9,17:00,18:35,1:35,
2022/10/22,22:24,23:19,0:55,
2022/10/23,17:00,18:48,1:48,
2022/10/29,10:47,11:50,1:03,
2022/10/29,15:59,17:13,1:14,
2022/10/29,17:21,19:18,1:57,
,,,10 hours 324 mins = 15.4hours*1500 NTD =23100,
2022/11/3,22:38,23:46,1:08,
2022/11/4,8:38,9:38,1:00,
2022/11/5,22:00,24:04:00,2:04,
2022/11/6,17:10,19:18:00,2:08,
2023/2/20,18:00,19:42,1:42,
,,,8hr 2 mins =8.03 hr*1500=12045NTD (paid),
2023/3/6,21:20,23:50,2:30,
2023/3/9,21:00,23:00,2:00,
2023/3/19,18:00,20:14,2:14,
2023/3/26,17:00,19:12,2:12,
2023/4/2,17:00,19:17,2:17,
,,,11:13,11.22hr*1500=16830NTD (paid)
2023/4/16,17:00,18:40,1:40,
2023/4/23,17:00,19:15,2:15,
2023/4/30,17:10,19:34,2:24,
2023/5/14,17:00,19:28,2:28,
2023/5/21,17:15,19:00,1:45,
2023/6/7,18:03,19:23,1:20,
19-Jun,17:10,18:52,1:42,
,,,10 hour 214 min =13.57 hr *1500 =20355 (paid),
2023/6/23,0:58,1:55,0:57,
2023/7/1,17:00,20:10,3:10,
2023/7/9,17:30,19:30,2:00,
,,,0:00,
,,,0:00,
,,,0:00,
,,,0:00,
,,,0:00,
,,,0:00,
,,,0:00,
